fresh PolicyNet
training on ALE/Pong-v5 (RIGHT paddle) | lr=0.001 | best-by-WIN-RATE | Ctrl-C to stop
ep    95 | reward -21 | running -20.54 | wr100   0.0% (0/95)
ep    96 | reward -16 | running -20.49 | wr100   0.0% (0/96)
ep    97 | reward -21 | running -20.50 | wr100   0.0% (0/97)
ep    98 | reward -19 | running -20.48 | wr100   0.0% (0/98)
ep    99 | reward -20 | running -20.48 | wr100   0.0% (0/99)
ep   100 | reward -21 | running -20.48 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.48  -> realpong_best.pt ***
ep   101 | reward -18 | running -20.46 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.46  -> realpong_best.pt ***
ep   102 | reward -21 | running -20.46 | wr100   0.0% (0/100)
ep   103 | reward -20 | running -20.46 | wr100   0.0% (0/100)
ep   104 | reward -20 | running -20.46 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.46  -> realpong_best.pt ***
ep   105 | reward -19 | running -20.44 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.44  -> realpong_best.pt ***
ep   106 | reward -20 | running -20.44 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.44  -> realpong_best.pt ***
ep   107 | reward -20 | running -20.43 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.43  -> realpong_best.pt ***
ep   108 | reward -19 | running -20.42 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.42  -> realpong_best.pt ***
ep   109 | reward -20 | running -20.41 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.41  -> realpong_best.pt ***
ep   110 | reward -21 | running -20.42 | wr100   0.0% (0/100)
ep   111 | reward -20 | running -20.42 | wr100   0.0% (0/100)
ep   112 | reward -21 | running -20.42 | wr100   0.0% (0/100)
ep   113 | reward -21 | running -20.43 | wr100   0.0% (0/100)
ep   114 | reward -19 | running -20.41 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.41  -> realpong_best.pt ***
ep   115 | reward -18 | running -20.39 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.39  -> realpong_best.pt ***
ep   116 | reward -19 | running -20.37 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.37  -> realpong_best.pt ***
ep   117 | reward -21 | running -20.38 | wr100   0.0% (0/100)
ep   118 | reward -19 | running -20.37 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.37  -> realpong_best.pt ***
ep   119 | reward -18 | running -20.34 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.34  -> realpong_best.pt ***
ep   120 | reward -19 | running -20.33 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.33  -> realpong_best.pt ***
ep   121 | reward -21 | running -20.34 | wr100   0.0% (0/100)
ep   122 | reward -21 | running -20.34 | wr100   0.0% (0/100)
ep   123 | reward -19 | running -20.33 | wr100   0.0% (0/100)
  *** NEW BEST  wr=0.0%  running=-20.33  -> realpong_best.pt ***
ep   124 | reward -21 | running -20.34 | wr100   0.0% (0/100)
ep   125 | reward -20 | running -20.33 | wr100   0.0% (0/100)
